Date,EURUSD
2010-11-11,1.3658
2010-11-10,1.3784
2010-11-09,1.3779
2010-11-08,1.3921
2010-11-05,1.4034
2010-11-04,1.42
2010-11-03,1.4145
2010-11-02,1.404
2010-11-01,1.3891
2010-10-29,1.395
2010-10-28,1.3932
2010-10-27,1.3769
2010-10-26,1.3861
2010-10-25,1.3966
2010-10-22,1.3952
2010-10-21,1.392
2010-10-20,1.3967
2010-10-19,1.3735
2010-10-18,1.3948
2010-10-15,1.3979
2010-10-14,1.4081
2010-10-13,1.3963
2010-10-12,1.3925
2010-10-11,1.3874
2010-10-08,1.3943
2010-10-07,1.3927
2010-10-06,1.3937
2010-10-05,1.3834
2010-10-04,1.3682
2010-10-01,1.3792
2010-09-30,1.3633
2010-09-29,1.3629
2010-09-28,1.3582
2010-09-27,1.3457
2010-09-24,1.3491
2010-09-23,1.3312
2010-09-22,1.34
2010-09-21,1.3252
2010-09-20,1.3066
2010-09-17,1.3048
2010-09-16,1.3076
2010-09-15,1.3005
2010-09-14,1.2996
2010-09-13,1.288
2010-09-10,1.268
2010-09-09,1.2694
2010-09-08,1.2723
2010-09-07,1.2683
2010-09-06,1.2873
2010-09-03,1.2896
2010-09-02,1.2826
2010-09-01,1.2812
2010-08-31,1.2687
2010-08-30,1.2664
2010-08-27,1.2765
2010-08-26,1.272
2010-08-25,1.2658
2010-08-24,1.2625
2010-08-23,1.2658
2010-08-20,1.2708
2010-08-19,1.2821
2010-08-18,1.2857
2010-08-17,1.2881
2010-08-16,1.2826
2010-08-13,1.2752
2010-08-12,1.2824
2010-08-11,1.2833
2010-08-10,1.3178
2010-08-09,1.3235
2010-08-06,1.3285
2010-08-05,1.3192
2010-08-04,1.316
2010-08-03,1.3228
2010-08-02,1.3182
2010-07-30,1.3048
2010-07-29,1.3079
2010-07-28,1.2993
2010-07-27,1.2995
2010-07-26,1.2995
2010-07-23,1.2907
2010-07-22,1.2891
2010-07-21,1.2757
2010-07-20,1.2886
2010-07-19,1.294
2010-07-16,1.2933
2010-07-15,1.2939
2010-07-14,1.2741
2010-07-13,1.2728
2010-07-12,1.259
2010-07-09,1.2637
2010-07-08,1.2694
2010-07-07,1.2635
2010-07-06,1.2624
2010-07-05,1.254
2010-07-02,1.2563
2010-07-01,1.2519
2010-06-30,1.2236
2010-06-29,1.2182
2010-06-28,1.2279
2010-06-25,1.2377
2010-06-24,1.2334
2010-06-23,1.2315
2010-06-22,1.2268
2010-06-21,1.2308
2010-06-18,1.2387
2010-06-17,1.238
2010-06-16,1.2308
2010-06-15,1.2324
2010-06-14,1.2218
2010-06-11,1.2113
2010-06-10,1.2109
2010-06-09,1.1986
2010-06-08,1.1975
2010-06-07,1.1915
2010-06-04,1.1976
2010-06-03,1.2157
2010-06-02,1.2251
2010-06-01,1.2227
2010-05-31,1.2306
2010-05-28,1.227
2010-05-27,1.2369
2010-05-26,1.2168
2010-05-25,1.2365
2010-05-24,1.2353
2010-05-21,1.2573
2010-05-20,1.2468
2010-05-19,1.2429
2010-05-18,1.2183
2010-05-17,1.2395
2010-05-14,1.2363
2010-05-13,1.253
2010-05-12,1.2622
2010-05-11,1.2655
2010-05-10,1.2782
2010-05-07,1.2762
2010-05-06,1.2656
2010-05-05,1.2814
2010-05-04,1.2982
2010-05-03,1.3194
2010-04-30,1.3298
2010-04-29,1.3225
2010-04-28,1.3214
2010-04-27,1.3165
2010-04-26,1.3397
2010-04-23,1.3386
2010-04-22,1.3293
2010-04-21,1.3387
2010-04-20,1.3438
2010-04-19,1.3485
2010-04-16,1.3499
2010-04-15,1.358
2010-04-14,1.3653
2010-04-13,1.3607
2010-04-12,1.3586
2010-04-09,1.3499
2010-04-08,1.336
2010-04-07,1.334
2010-04-06,1.3399
2010-04-05,1.3486
2010-04-02,1.3504
2010-04-01,1.3582
2010-03-31,1.3512
2010-03-30,1.3413
2010-03-29,1.3478
2010-03-26,1.3413
2010-03-25,1.3279
2010-03-24,1.3314
2010-03-23,1.35
2010-03-22,1.3556
2010-03-19,1.3534
2010-03-18,1.3607
2010-03-17,1.3738
2010-03-16,1.3772
2010-03-15,1.3676
2010-03-12,1.3763
2010-03-11,1.3679
2010-03-10,1.366
2010-03-09,1.3601
2010-03-08,1.363
2010-03-05,1.3622
2010-03-04,1.358
2010-03-03,1.37
2010-03-02,1.3605
2010-03-01,1.3561
2010-02-26,1.3626
2010-02-25,1.3556
2010-02-24,1.3531
2010-02-23,1.3506
2010-02-22,1.3598
2010-02-19,1.3615
2010-02-18,1.3617
2010-02-17,1.3606
2010-02-16,1.3769
2010-02-15,1.3599
2010-02-12,1.3618
2010-02-11,1.3682
2010-02-10,1.3727
2010-02-09,1.379
2010-02-08,1.3653
2010-02-05,1.3664
2010-02-04,1.3736
2010-02-03,1.3899
2010-02-02,1.3963
2010-02-01,1.3929
2010-01-29,1.3864
2010-01-28,1.3963
2010-01-27,1.4019
2010-01-26,1.4076
2010-01-25,1.4152
2010-01-22,1.4138
2010-01-21,1.4091
2010-01-20,1.4101
2010-01-19,1.4301
2010-01-18,1.4386
2010-01-15,1.4385
2010-01-14,1.4503
2010-01-13,1.4512
2010-01-12,1.4495
2010-01-11,1.4514
2010-01-08,1.4413
2010-01-07,1.4318
2010-01-06,1.4413
2010-01-05,1.4369
2010-01-04,1.4413
2010-01-01,1.4326
